LS#,simulation file#,score
LS1,12,-2.187330e-01
LS1,13,-2.187644e-01
LS1,15,-2.189109e-01
LS1,14,-2.190259e-01
LS1,11,-2.191862e-01
LS1,17,-2.193738e-01
LS1,6,-2.210627e-01
LS1,20,-2.211505e-01
LS1,5,-2.227771e-01
LS1,10,-2.237897e-01
LS1,9,-2.238540e-01
LS1,7,-2.239543e-01
LS1,8,-2.242037e-01
LS1,2,-2.258267e-01
LS1,4,-2.263772e-01
LS1,3,-2.267758e-01
LS1,18,-2.275443e-01
LS1,1,-2.285141e-01
LS1,19,-2.292183e-01
LS1,16,-2.323950e-01
LS2,1,4.419621e-01
LS2,4,3.267422e-01
LS2,3,3.167690e-01
LS2,2,3.116151e-01
LS2,16,2.961151e-01
LS2,5,2.297752e-01
LS2,19,-5.063323e-02
LS2,11,-8.209400e-02
LS2,14,-9.177196e-02
LS2,13,-9.227579e-02
LS2,12,-9.408387e-02
LS2,15,-9.471266e-02
LS2,6,-9.810553e-02
LS2,17,-9.972673e-02
LS2,18,-1.061332e-01
LS2,20,-1.097258e-01
LS2,10,-2.517135e-01
LS2,9,-2.625937e-01
LS2,8,-2.638679e-01
LS2,7,-2.666529e-01
LS3,16,6.082932e-01
LS3,7,2.734404e-01
LS3,8,2.709158e-01
LS3,9,2.550698e-01
LS3,10,2.241470e-01
LS3,1,1.615666e-01
LS3,5,2.632322e-02
LS3,11,-7.453031e-02
LS3,6,-9.077144e-02
LS3,13,-1.107936e-01
LS3,12,-1.118740e-01
LS3,15,-1.128774e-01
LS3,3,-1.193742e-01
LS3,2,-1.217842e-01
LS3,17,-1.219443e-01
LS3,14,-1.227084e-01
LS3,4,-1.249780e-01
LS3,20,-1.383509e-01
LS3,18,-2.077362e-01
LS3,19,-3.891844e-01
LS4,18,3.982690e-01
LS4,20,1.730015e-01
LS4,17,1.406070e-01
LS4,13,1.286033e-01
LS4,15,1.251211e-01
LS4,6,1.230395e-01
LS4,12,1.226640e-01
LS4,11,1.069414e-01
LS4,3,7.475133e-02
LS4,14,4.729158e-02
LS4,5,4.689155e-02
LS4,2,5.738876e-03
LS4,16,-3.688749e-03
LS4,1,-2.210967e-02
LS4,9,-1.141175e-01
LS4,10,-1.157883e-01
LS4,7,-1.233010e-01
LS4,8,-1.255024e-01
LS4,4,-1.673840e-01
LS4,19,-7.886105e-01
