LS#,simulation file#,score
LS1,13,1482
LS1,9,1340
LS1,8,1170
LS1,6,1070
LS1,2,1060
LS1,3,1030
LS1,5,1015
LS1,11,796
LS1,16,709
LS1,17,709
LS1,14,708
LS1,4,690
LS1,18,685
LS1,7,626
LS1,19,522
LS1,1,485
LS1,15,412
LS1,20,282
LS1,12,243
LS1,10,215
LS2,1,423
LS2,3,314
LS2,7,235
LS2,10,228
LS2,8,196
LS2,2,190
LS2,9,170
LS2,4,144
LS2,16,91
LS2,5,75
LS2,6,62
LS2,20,37
LS2,19,34
LS2,13,19
LS2,12,18
LS2,14,15
LS2,15,13
LS2,17,12
LS2,11,11
LS2,18,8
LS3,20,4011
LS3,12,2174
LS3,5,2074
LS3,15,1867
LS3,14,1680
LS3,19,1428
LS3,16,1403
LS3,10,1301
LS3,17,1041
LS3,7,1035
LS3,9,989
LS3,2,917
LS3,13,655
LS3,4,655
LS3,11,640
LS3,3,619
LS3,18,571
LS3,8,481
LS3,6,465
LS3,1,427
LS4,16,195
LS4,1,109
LS4,9,38
LS4,10,27
LS4,6,18
LS4,8,18
LS4,2,16
LS4,3,15
LS4,4,15
LS4,5,14
LS4,18,7
LS4,11,5
LS4,7,5
LS4,12,4
LS4,14,4
LS4,15,2
LS4,19,2
LS4,20,1
LS4,13,0
LS4,17,0
